name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,,lgbt_12,year_lgbt_12,Count_universe_12,,lgbt,year_lgbt,Count_universe,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Spider-Man (Peter Parker),1,Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,4043,Aug-62,1962,1939,14.5,14.5,1939,Good Characters_f,3,Good Characters_m,18,,,,1935,0,,LGBT_Marvel,1940,1,,Batman (Bruce Wayne),1,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3093,"1939, May",1939,,,,,,,,,
Captain America (Steven Rogers),2,Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,3360,Mar-41,1941,1940,14.8,14.9,1939,Neutral Characters_f,5,Neutral Characters_m,9,,,,1936,0,,LGBT_Marvel,1943,1,,Superman (Clark Kent),2,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2496,"1986, October",1986,,,,,,,,,
"Wolverine (James \""Logan\"" Howlett)",3,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3061,Oct-74,1974,1941,11.7,7.2,1939,Bad Characters_f,2,Bad Characters_m,29,,,,1936,0,,LGBT_DC,1943,1,,Green Lantern (Hal Jordan),3,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1565,"1959, October",1959,,,,,,,,,
"Iron Man (Anthony \""Tony\"" Stark)",4,Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2961,Mar-63,1963,1942,9.7,5.7,1940,Good Characters_f,30,Good Characters_m,84,,,,1936,0,,LGBT_Marvel,1948,1,,James Gordon (New Earth),4,Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,1316,"1987, February",1987,,,,1936,Bad Characters,0,,Bad Characters,0
Thor (Thor Odinson),5,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2258,Nov-50,1950,1943,9.1,6.6,1940,Neutral Characters_f,2,Neutral Characters_m,6,,,,1936,0,,LGBT_Marvel,1949,1,,Richard Grayson (New Earth),5,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1237,"1940, April",1940,1940,21.4,17.2,1936,Good Characters,2,,Good Characters,4
Benjamin Grimm (Earth-616),6,Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,2255,Nov-61,1961,1944,9,9,1940,Bad Characters_f,1,Bad Characters_m,90,,,,1936,0,,LGBT_DC,1959,1,,Wonder Woman (Diana Prince),6,Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,1231,"1941, December",1941,1941,18.9,13.1,1936,Neutral Characters,0,,Neutral Characters,1
Reed Richards (Earth-616),7,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2072,Nov-61,1961,1945,9.3,12.4,1941,Good Characters_f,7,Good Characters_m,55,,,,1936,0,,LGBT_Marvel,1960,1,,Aquaman (Arthur Curry),7,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1121,"1941, November",1941,1942,16.8,9.6,1937,Bad Characters,0,,Bad Characters,0
Hulk (Robert Bruce Banner),8,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2017,May-62,1962,1946,9.6,13.3,1941,Neutral Characters_f,1,Neutral Characters_m,6,,,,1936,0,,LGBT_Marvel,1964,1,,Timothy Drake (New Earth),8,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1095,"1989, August",1989,1943,15.1,0,1937,Good Characters,1,,Good Characters,3
Scott Summers (Earth-616),9,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1955,Sep-63,1963,1947,10.1,18.1,1941,Bad Characters_f,6,Bad Characters_m,112,,,,1936,0,,LGBT_DC,1964,1,,Dinah Laurel Lance (New Earth),9,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1075,"1969, November",1969,1944,14.2,20,1937,Neutral Characters,0,,Neutral Characters,0
Jonathan Storm (Earth-616),10,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1934,Nov-61,1961,1948,10.2,12.1,1942,Good Characters_f,10,Good Characters_m,46,,,,1936,0,,LGBT_DC,1964,1,,Flash (Barry Allen),10,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1028,"1956, October",1956,1945,14.5,0,1938,Bad Characters,0,,Bad Characters,0
