name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,gsm,year_marvel,gsm_dc,year_dc,,,,,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Spider-Man (Peter Parker),1,Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,4043,Aug-62,1962,1939,14.5,14.5,1939,Good Characters_f,3,Good Characters_m,18,,,1962,,1935,,,,,,Batman (Bruce Wayne),1,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3093,"1939, May",1939,,,,,,,,,
Captain America (Steven Rogers),2,Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,3360,Mar-41,1941,1940,14.8,14.9,1939,Neutral Characters_f,5,Neutral Characters_m,9,,,1941,,1936,,,,,,Superman (Clark Kent),2,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2496,"1986, October",1986,,,,,,,,,
"Wolverine (James \""Logan\"" Howlett)",3,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3061,Oct-74,1974,1941,11.7,7.2,1939,Bad Characters_f,2,Bad Characters_m,29,,,1974,,1936,,,,,,Green Lantern (Hal Jordan),3,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1565,"1959, October",1959,,,,,,,,,
"Iron Man (Anthony \""Tony\"" Stark)",4,Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2961,Mar-63,1963,1942,9.7,5.7,1940,Good Characters_f,30,Good Characters_m,84,,,1963,,1936,,,,,,James Gordon (New Earth),4,Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,1316,"1987, February",1987,,,,1936,Bad Characters,0,,Bad Characters,0
Thor (Thor Odinson),5,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2258,Nov-50,1950,1943,9.1,6.6,1940,Neutral Characters_f,2,Neutral Characters_m,6,,,1950,,1936,,,,,,Richard Grayson (New Earth),5,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1237,"1940, April",1940,1940,21.4,17.2,1936,Good Characters,2,,Good Characters,4
Benjamin Grimm (Earth-616),6,Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,2255,Nov-61,1961,1944,9.0,9.0,1940,Bad Characters_f,1,Bad Characters_m,90,,,1961,,1936,,,,,,Wonder Woman (Diana Prince),6,Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,1231,"1941, December",1941,1941,18.9,13.1,1936,Neutral Characters,0,,Neutral Characters,1
Reed Richards (Earth-616),7,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2072,Nov-61,1961,1945,9.3,12.4,1941,Good Characters_f,7,Good Characters_m,55,,,1961,,1936,,,,,,Aquaman (Arthur Curry),7,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1121,"1941, November",1941,1942,16.8,9.6,1937,Bad Characters,0,,Bad Characters,0
Hulk (Robert Bruce Banner),8,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2017,May-62,1962,1946,9.6,13.3,1941,Neutral Characters_f,1,Neutral Characters_m,6,,,1962,,1936,,,,,,Timothy Drake (New Earth),8,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1095,"1989, August",1989,1943,15.1,0.0,1937,Good Characters,1,,Good Characters,3
Scott Summers (Earth-616),9,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1955,Sep-63,1963,1947,10.1,18.1,1941,Bad Characters_f,6,Bad Characters_m,112,,,1963,,1936,,,,,,Dinah Laurel Lance (New Earth),9,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1075,"1969, November",1969,1944,14.2,20.0,1937,Neutral Characters,0,,Neutral Characters,0
Jonathan Storm (Earth-616),10,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1934,Nov-61,1961,1948,10.2,12.1,1942,Good Characters_f,10,Good Characters_m,46,,,1961,,1936,,,,,,Flash (Barry Allen),10,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1028,"1956, October",1956,1945,14.5,0.0,1938,Bad Characters,0,,Bad Characters,0
Henry McCoy (Earth-616),11,Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,,Living Characters,1825,Sep-63,1963,1949,10.2,9.7,1942,Neutral Characters_f,,Neutral Characters_m,5,,,1963,,1937,,,,,,GenderTest,11,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1028,"1956, October",1956,1946,14.1,11.1,1938,Good Characters,1,,Good Characters,7
Susan Storm (Earth-616),12,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1713,Nov-61,1961,1950,10.2,10.3,1942,Bad Characters_f,4,Bad Characters_m,165,,,1961,,1937,,,,,,Alan Scott (New Earth),12,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,969,"1940, July",1940,1947,14.0,25.0,1938,Neutral Characters,0,,Neutral Characters,0
Namor McKenzie (Earth-616),13,No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,1528,,,1951,10.4,16.7,1943,Good Characters_f,10,Good Characters_m,28,,,,,1937,,,,,,Barbara Gordon (New Earth),13,Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,951,"1967, January",1967,1948,14.8,20.0,1939,Bad Characters,1,,Bad Characters,3
Ororo Munroe (Earth-616),14,Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,1512,May-75,1975,1952,10.6,19.2,1943,Neutral Characters_f,,Neutral Characters_m,4,,,1975,,1937,,,,,,Jason Garrick (New Earth),14,Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,951,"1940, January",1940,1949,15.1,0.0,1939,Good Characters,4,,Good Characters,9
Clinton Barton (Earth-616),15,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1394,Sep-64,1964,1953,10.9,25.6,1943,Bad Characters_f,3,Bad Characters_m,145,,,1964,,1938,,,,,,Lois Lane (New Earth),15,Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,934,"1938, June",1938,1950,14.8,0.0,1939,Neutral Characters,0,,Neutral Characters,0
Matthew Murdock (Earth-616),16,Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,1338,Apr-64,1964,1954,11.5,23.2,1944,Good Characters_f,5,Good Characters_m,11,,,1964,,1938,,,,,,Alfred Pennyworth (New Earth),16,Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,930,"1943, April",1943,1951,14.4,8.3,1940,Bad Characters,2,,Bad Characters,12
